"","Id","name","popularity","followers","profile","images","genre"
"93",173,"Night Ranger",54,635619,"https://open.spotify.com/artist/1Ha0Fz4i0d4gu5fZbhBCtH","https://i.scdn.co/image/ab676161000051749e8c55f799964f5194cc5999","classic rock"
"94",178,"The Babys",45,97561,"https://open.spotify.com/artist/6z7wrwE2QW7Keb9ozoF0rg","https://i.scdn.co/image/87686b766a965ec3791573da03733e6bf11af5a2","classic rock"
"95",181,"Head East",44,153247,"https://open.spotify.com/artist/55UamRmLvoS6q7iWPzUrCC","https://i.scdn.co/image/8639d57200febc3eac25d97421793acef7cd0388","blues rock"
"96",182,"Gary Wright",47,132572,"https://open.spotify.com/artist/3z6Uf5IZkN4TogRpRpgD84","https://i.scdn.co/image/5b6cb225b8c44ca2bf4507b3c47ee04f4cf424e2","classic rock"
"97",190,"Pablo Cruise",46,141973,"https://open.spotify.com/artist/3Y5abCLsMxsOLaZ8rYusSR","https://i.scdn.co/image/ab676161000051743d0e456d08f20432c949ae32","classic rock"
"98",196,"Orleans",55,148600,"https://open.spotify.com/artist/1667U2YoucgG5Pdvm2M59c","https://i.scdn.co/image/ab6761610000517473623115b3d4b9f03184d118","classic rock"
"99",198,"Three Dog Night",61,844515,"https://open.spotify.com/artist/4FAEZeJcsYYBkNq2D3KGTV","https://i.scdn.co/image/de4584ad4505189abd4c931cdc0d6bc24f97887b","art rock"
"100",200,"Bachman-Turner Overdrive",61,878514,"https://open.spotify.com/artist/5q4AzEtCoYJyXjMMoEkSU5","https://i.scdn.co/image/50741f1de4da40778401dfe57a73bde9ab0659ce","art rock"
"101",202,"Billy Squier",61,707908,"https://open.spotify.com/artist/3Fz2GbraVXhcpXnoi2Oe1r","https://i.scdn.co/image/b41cea376e7970dc32802f0d0a84c22cfedf3e47","classic rock"
"102",211,"Boston",68,2383348,"https://open.spotify.com/artist/29kkCKKGXheHuoO829FxWK","https://i.scdn.co/image/91457d2e1cd0e38d1b0af68699aeb85416dd4ab8","art rock"
"103",213,"Styx",64,1697471,"https://open.spotify.com/artist/4salDzkGmfycRqNUbyBphh","https://i.scdn.co/image/ab67616100005174fef3008e708e59efaa5667ed","art rock"
"104",214,"Heart",69,2190987,"https://open.spotify.com/artist/34jw2BbxjoYalTp8cJFCPv","https://i.scdn.co/image/6537feaf4a9da588202c9aa494dcc9b02f246ff5","classic rock"
"105",215,"Sammy Hagar",56,838283,"https://open.spotify.com/artist/1hXjTjJzZTXDZ75AclOo6N","https://i.scdn.co/image/ab676161000051749dc3e6da940b26f4695adc3b","classic rock"
"106",218,"Pat Benatar",65,1485365,"https://open.spotify.com/artist/43mhFhQ4JAknA7Ik1bOZuV","https://i.scdn.co/image/f881ba3e2dec37df305e172d9b5210b12fcd74cb","classic rock"
"107",228,"Stephen Bishop",56,222984,"https://open.spotify.com/artist/3JhRHqCi8HEzkJVWt19LtN","https://i.scdn.co/image/ab67616100005174ea31950c891f1fed632737fa","country rock"
"108",231,"Gino Vannelli",52,163617,"https://open.spotify.com/artist/6ltcwvni6HdZAJaWhmIvNR","https://i.scdn.co/image/ab676161000051748646ffdc18faeb6cfaa70bd6","classic canadian rock"
"109",237,"Nicolette Larson",45,57453,"https://open.spotify.com/artist/0NCXrh1XOnHNp4mM0JUFJw","https://i.scdn.co/image/5a980dc7d06323504b02259cbd9daf2f2f0e9171","classic uk pop"
"110",238,"Michael McDonald",57,438859,"https://open.spotify.com/artist/24hJWbo98sH84tb0nkeaqy","https://i.scdn.co/image/ab676161000051748dd51e1c2fd885e5cbd413e8","soft rock"
"111",239,"Donald Fagen",48,206885,"https://open.spotify.com/artist/0S1SjYebdSaiMpI8xSW2Wb","https://i.scdn.co/image/a4506fc3252ba8e7f8e6246748602515d9a5fe58","jazz fusion"
