"","Vertex1","Vertex2"
"202","joe walsh","atlanta rhythm section"
"203","boston","gino vannelli"
"204","bachman-turner overdrive","jefferson starship"
"205","styx","dan fogelberg"
"206","heart","paul davis"
"207","sammy hagar","poco"
"208","the babys","pure prairie league"
"209","head east","nicolette larson"
"210","pat benatar","michael mcdonald"
"211","night ranger","donald fagen"
"212","john mellencamp","bob welch"
"213","ambrosia","pure prairie league"
"214","pablo cruise","jonathan edwards"
"215","seals and crofts","dan fogelberg"
"216","loggins & messina","seals and crofts"
"217","little river band","poco"
"218","stephen bishop","jd souther"
"219","orleans","the ozark mountain daredevils"
"220","atlanta rhythm section","pablo cruise"
"221","gino vannelli","harry chapin"
"222","jefferson starship","jesse colin young"
"223","dan fogelberg","orleans"
"224","paul davis","atlanta rhythm section"
"225","poco","little river band"
"226","pure prairie league","jefferson starship"
"227","nicolette larson","boz scaggs"
"228","michael mcdonald","bob welch"
"229","donald fagen","ambrosia"
"230","bob welch","crosby, stills & nash"
"231","jonathan edwards","jd souther"
"232","dan fogelberg","firefall"
"233","seals and crofts","the ozark mountain daredevils"
"234","poco","loggins & messina"
"235","firefall","dave mason"
"236","dave mason","jesse colin young"
"237","jd souther","atlanta rhythm section"
"238","the ozark mountain daredevils","jonathan edwards"
"239","pablo cruise","stephen stills"
"240","harry chapin","chris hillman"
"241","jesse colin young","new riders of the purple sage"
"242","orleans","jefferson starship"
"243","atlanta rhythm section","dan fogelberg"
"244","little river band","seals and crofts"
"245","jefferson starship","pablo cruise"
"246","boz scaggs","orleans"
"247","ambrosia","crosby, stills & nash"
"248","crosby, stills & nash","little river band"
"249","pure prairie league","rick springfield"
"250","jd souther","don henley"
"251","firefall","eddie money"
"252","the ozark mountain daredevils","loverboy"
"253","loggins & messina","mr. mister"
"254","dave mason","reo speedwagon"
"255","jesse colin young","glenn frey"
"256","atlanta rhythm section","pat benatar"
"257","jonathan edwards","starship"
"258","stephen stills","daryl hall & john oates"
"259","chris hillman","steve perry"
"260","new riders of the purple sage","the romantics"
"261","jefferson starship","38 special"
"262","dan fogelberg","kenny loggins"
"263","seals and crofts","corey hart"
"264","pablo cruise","robert palmer"
"265","orleans","steve winwood"
"266","bob welch","the cars"
"267","crosby, stills & nash","the j. geils band"
"268","little river band","billy squier"
"269","rick springfield","fine young cannibals"
"270","don henley","level 42"
"271","eddie money","the power station"
"272","loverboy","paul young"
"273","mr. mister","mike + the mechanics"
"274","reo speedwagon","mr. mister"
