"","Vertex1","Vertex2"
"1208","pete townshend","pablo cruise"
"1209","warren zevon","seals and crofts"
"1210","bruce hornsby","loggins & messina"
"1211","glenn frey","little river band"
"1212","don henley","firefall"
"1213","jackson browne","dave mason"
"1214","steve winwood","stephen bishop"
"1215","al stewart","atlanta rhythm section"
"1216","jefferson starship","gino vannelli"
"1217","traveling wilburys","jefferson starship"
"1218","jeff lynne","dan fogelberg"
"1219","julian lennon","paul davis"
"1220","todd rundgren","pure prairie league"
"1221","joe walsh","nicolette larson"
"1222","robert plant","michael mcdonald"
"1223","pretenders","donald fagen"
"1224","mudcrutch","bob welch"
"1225","lou gramm","pure prairie league"
"1226","john waite","jonathan edwards"
"1227","rick springfield","dan fogelberg"
"1228","loverboy","seals and crofts"
"1229","corey hart","the ozark mountain daredevils"
"1230","cutting crew","harry chapin"
"1231","reo speedwagon","jesse colin young"
"1232","night ranger","orleans"
"1233","jefferson starship","little river band"
"1234","starship","jefferson starship"
"1235","don henley","boz scaggs"
"1236","the babys","bob welch"
"1237","john parr","ambrosia"
"1238","huey lewis & the news","crosby, stills & nash"
"1239","gary wright","jd souther"
"1240","little river band","the ozark mountain daredevils"
"1241","atlanta rhythm section","loggins & messina"
"1242","ambrosia","dave mason"
"1243","the babys","jesse colin young"
"1244","the j. geils band","atlanta rhythm section"
"1245","bob welch","jonathan edwards"
"1246","joe walsh","chris hillman"
"1247","eddie money","new riders of the purple sage"
"1248","loverboy","jefferson starship"
"1249","orleans","pablo cruise"
"1250","paul davis","crosby, stills & nash"
"1251","bachman-turner overdrive","little river band"
"1252","loverboy","rick springfield"
"1253","billy squier","don henley"
"1254","38 special","eddie money"
"1255","the j. geils band","loverboy"
"1256","rick springfield","mr. mister"
"1257","huey lewis & the news","starship"
"1258","joe walsh","daryl hall & john oates"
"1259","boston","steve perry"
"1260","bachman-turner overdrive","the romantics"
"1261","styx","38 special"
"1262","heart","kenny loggins"
"1263","sammy hagar","corey hart"
"1264","the babys","robert palmer"
"1265","head east","steve winwood"
"1266","pat benatar","the cars"
"1267","night ranger","the j. geils band"
"1268","john mellencamp","billy squier"
"1269","ambrosia","fine young cannibals"
"1270","pablo cruise","level 42"
"1271","seals and crofts","the power station"
"1272","loggins & messina","paul young"
"1273","little river band","mike + the mechanics"
"1274","stephen bishop","steve winwood"
"1275","orleans","johnny hates jazz"
"1276","atlanta rhythm section","huey lewis & the news"
"1277","gino vannelli","glenn frey"
"1278","jefferson starship","howard jones"
"1279","dan fogelberg","abc"
"1280","paul davis","the romantics"
"1281","poco","joe jackson"
"1282","pure prairie league","nik kershaw"
"1283","nicolette larson","don henley"
"1284","michael mcdonald","bryan ferry"
"1285","donald fagen","thompson twins"
"1286","bob welch","rick springfield"
"1287","jonathan edwards","john parr"
"1288","dan fogelberg","lou gramm"
"1289","firefall","loverboy"
"1290","dave mason","rick springfield"
"1291","jd souther","steve perry"
"1292","the ozark mountain daredevils","john waite"
"1293","pablo cruise","honeymoon suite"
"1294","harry chapin","quarterflash"
"1295","jesse colin young","red rider"
"1296","orleans","platinum blonde"
"1297","atlanta rhythm section","starship"
"1298","boz scaggs","gowan"
"1299","ambrosia","huey lewis & the news"
"1300","crosby, stills & nash","tom cochrane"
"1301","jd souther","orleans"
"1302","the ozark mountain daredevils","gary wright"
"1303","loggins & messina","bob welch"
"1304","dave mason","little river band"
"1305","jesse colin young","ambrosia"
"1306","jonathan edwards","poco"
"1307","stephen stills","paul davis"
"1308","chris hillman","jefferson starship"
"1309","new riders of the purple sage","the ozark mountain daredevils"
"1310","jefferson starship","loggins & messina"
"1311","seals and crofts","nicolette larson"
"1312","pablo cruise","player"
"1313","orleans","atlanta rhythm section"
"1314","crosby, stills & nash","england dan & john ford coley"
"1315","little river band","dave mason"
"1316","eddie money","loggins & messina"
"1317","loverboy","stephen bishop"
"1318","reo speedwagon","orleans"
"1319","glenn frey","pablo cruise"
"1320","pat benatar","england dan & john ford coley"
"1321","starship","little river band"
"1322","daryl hall & john oates","art garfunkel"
"1323","steve perry","poco"
"1324","the romantics","david gates"
"1325","kenny loggins","harry chapin"
"1326","corey hart","jd souther"
"1327","robert palmer","bread"
"1328","the cars","rita coolidge"
"1329","the j. geils band","captain & tennille"
"1330","billy squier","melissa manchester"
"1331","fine young cannibals","ambrosia"
"1332","level 42","robbie dupree"
"1333","the power station","player"
"1334","paul young","pablo cruise"
"1335","mike + the mechanics","stephen bishop"
"1336","wang chung","nicolette larson"
"1337","steve winwood","orleans"
"1338","johnny hates jazz","bertie higgins"
"1339","glenn frey","christopher cross"
"1340","howard jones","little river band"
"1341","abc","england dan & john ford coley"
"1342","the romantics","melissa manchester"
"1343","joe jackson","seals and crofts"
"1344","nik kershaw","captain & tennille"
"1345","don henley","gary wright"
"1346","bryan ferry","dan fogelberg"
"1347","thompson twins","robert john"
"1348","rick springfield","david gates"
"1349","john parr","steve winwood"
"1350","lou gramm","eddie money"
"1351","cutting crew","bruce hornsby"
"1352","mr. mister","huey lewis & the news"
"1353","rick springfield","john mellencamp"
"1354","steve perry","jackson browne"
"1355","john waite","rick springfield"
"1356","honeymoon suite","little river band"
"1357","quarterflash","38 special"
"1358","red rider","reo speedwagon"
"1359","platinum blonde","the j. geils band"
"1360","starship","mr. mister"
"1361","glenn frey","joe walsh"
"1362","wang chung","loverboy"
"1363","gowan","steve perry"
"1364","benjamin orr","firefall"
"1365","tom cochrane","the doobie brothers"
"1366","orleans","bruce hornsby"
"1367","gary wright","robert palmer"
"1368","ambrosia","jefferson starship"
"1369","paul davis","mr. mister"
"1370","jefferson starship","ambrosia"
"1371","the ozark mountain daredevils","boz scaggs"
"1372","dan fogelberg","rick springfield"
"1373","nicolette larson","jackson browne"
"1374","player","38 special"
"1375","atlanta rhythm section","glass tiger"
"1376","stephen bishop","wang chung"
"1377","england dan & john ford coley","atlanta rhythm section"
"1378","dave mason","christopher cross"
"1379","seals and crofts","shawn mullins"
"1380","loggins & messina","jackson browne"
"1381","stephen bishop","don henley"
"1382","paul davis","joan osborne"
"1383","orleans","james taylor"
"1384","pablo cruise","melissa etheridge"
"1385","england dan & john ford coley","joshua kadison"
"1386","art garfunkel","shawn colvin"
"1387","poco","natalie merchant"
"1388","david gates","sheryl crow"
"1389","ambrosia","jennifer warnes"
"1390","harry chapin","amanda marshall"
"1391","jd souther","carole king"
"1392","bread","tracy chapman"
"1393","pure prairie league","van morrison"
"1394","rita coolidge","bruce springsteen"
"1395","captain & tennille","billy joel"
"1396","melissa manchester","carly simon"
"1397","robbie dupree","mr. mister"
"1398","player","cutting crew"
"1399","pablo cruise","steve perry"
"1400","stephen bishop","rick springfield"
"1401","firefall","paul davis"
"1402","nicolette larson","eric carmen"
"1403","bertie higgins","corey hart"
"1404","bob welch","glass tiger"
"1405","christopher cross","peter cetera"
"1406","little river band","paul carrack"
"1407","england dan & john ford coley","quarterflash"
"1408","melissa manchester","daryl hall"
"1409","seals and crofts","starship"
"1410","captain & tennille","john waite"
"1411","gary wright","lou gramm"
"1412","dan fogelberg","christopher cross"
"1413","robert john","sheena easton"
"1414","david gates","ambrosia"
"1415","glenn frey","mr. mister"
"1416","steve winwood","cutting crew"
"1417","eddie money","paul carrack"
"1418","bruce hornsby","paul young"
"1419","jefferson starship","johnny hates jazz"
"1420","john mellencamp","robert palmer"
"1421","rick springfield","nik kershaw"
"1422","little river band","level 42"
"1423","38 special","the hooters"
"1424","reo speedwagon","glenn frey"
"1425","mr. mister","chris de burgh"
"1426","joe walsh","cock robin"
"1427","loverboy","go west"
"1428","firefall","fine young cannibals"
"1429","mike + the mechanics","bruce hornsby"
"1430","the doobie brothers","glass tiger"
"1431","robert palmer","loggins & messina"
"1432","huey lewis & the news","don henley"
"1433","mike + the mechanics","warren zevon"
"1434","jefferson starship","dan fogelberg"
"1435","eddie money","jim croce"
"1436","little river band","gordon lightfoot"
"1437","mr. mister","pure prairie league"
"1438","ambrosia","seals and crofts"
"1439","boz scaggs","firefall"
"1440","the j. geils band","dave mason"
"1441","rick springfield","boz scaggs"
"1442","jackson browne","bruce hornsby"
"1443","38 special","van morrison"
"1444","glass tiger","steve winwood"
"1445","wang chung","jefferson starship"
"1446","christopher cross","stephen stills"
"1447","shawn mullins","christine mcvie"
"1448","bruce hornsby","pete townshend"
"1449","jackson browne","warren zevon"
"1450","don henley","bruce hornsby"
"1451","joan osborne","glenn frey"
"1452","james taylor","don henley"
"1453","melissa etheridge","jackson browne"
"1454","bonnie raitt","bob welch"
"1455","shawn colvin","al stewart"
"1456","natalie merchant","jefferson starship"
"1457","sheryl crow","traveling wilburys"
"1458","jennifer warnes","jeff lynne"
"1459","amanda marshall","julian lennon"
"1460","carole king","boz scaggs"
"1461","tracy chapman","todd rundgren"
"1462","van morrison","joe walsh"
"1463","bruce springsteen","robert plant"
"1464","billy joel","pretenders"
"1465","carly simon","mudcrutch"
"1466","don henley","lou gramm"
"1467","mr. mister","john waite"
"1468","cutting crew","rick springfield"
"1469","steve perry","loverboy"
"1470","rick springfield","quarterflash"
"1471","eric carmen","glass tiger"
"1472","glass tiger","eddie money"
"1473","peter cetera","cutting crew"
"1474","paul carrack","reo speedwagon"
"1475","quarterflash","night ranger"
"1476","daryl hall","38 special"
"1477","john waite","starship"
"1478","lou gramm","don henley"
"1479","christopher cross","the babys"
"1480","sheena easton","john parr"
"1481","cutting crew","head east"
"1482","corey hart","gary wright"
"1483","john waite","the babys"
"1484","go west","the j. geils band"
"1485","rick springfield","joe walsh"
"1486","richard marx","loverboy"
"1487","the power station","poco"
"1488","lou gramm","orleans"
"1489","paul young","pure prairie league"
"1490","huey lewis & the news","three dog night"
"1491","kim carnes","paul davis"
"1492","nik kershaw","bachman-turner overdrive"
"1493","cutting crew","billy squier"
"1494","paul carrack","38 special"
"1495","paul young","the j. geils band"
"1496","richard marx","rick springfield"
"1497","johnny hates jazz","reo speedwagon"
"1498","level 42","joe walsh"
"1499","the hooters","boston"
"1500","glenn frey","bachman-turner overdrive"
"1501","don henley","styx"
"1502","chris de burgh","heart"
"1503","cock robin","sammy hagar"
"1504","go west","the babys"
"1505","starship","head east"
"1506","fine young cannibals","pat benatar"
"1507","bruce hornsby","night ranger"
"1508","glass tiger","john mellencamp"
"1509","james taylor","ambrosia"
"1510","crosby, stills & nash","pablo cruise"
"1511","don henley","little river band"
"1512","dan fogelberg","dave mason"
"1513","jim croce","stephen bishop"
"1514","gordon lightfoot","orleans"
"1515","pure prairie league","atlanta rhythm section"
"1516","seals and crofts","gino vannelli"
"1517","dave mason","dan fogelberg"
"1518","boz scaggs","paul davis"
"1519","van morrison","pure prairie league"
"1520","steve winwood","nicolette larson"
"1521","jefferson starship","michael mcdonald"
"1522","little river band","donald fagen"
"1523","stephen stills","bob welch"
"1524","christine mcvie","pure prairie league"
"1525","pete townshend","jonathan edwards"
"1526","warren zevon","dan fogelberg"
"1527","bruce hornsby","seals and crofts"
"1528","steve winwood","jd souther"
"1529","jefferson starship","harry chapin"
"1530","traveling wilburys","jesse colin young"
"1531","jeff lynne","orleans"
"1532","julian lennon","atlanta rhythm section"
"1533","boz scaggs","little river band"
"1534","todd rundgren","jefferson starship"
"1535","joe walsh","boz scaggs"
"1536","robert plant","bob welch"
"1537","pretenders","ambrosia"
"1538","mudcrutch","crosby, stills & nash"
"1539","john waite","jd souther"
"1540","loverboy","the ozark mountain daredevils"
"1541","quarterflash","loggins & messina"
"1542","mr. mister","dave mason"
"1543","glass tiger","jesse colin young"
"1544","corey hart","jonathan edwards"
"1545","eddie money","stephen stills"
"1546","cutting crew","chris hillman"
"1547","reo speedwagon","new riders of the purple sage"
"1548","night ranger","jefferson starship"
"1549","jefferson starship","seals and crofts"
"1550","starship","pablo cruise"
"1551","john parr","crosby, stills & nash"
"1552","huey lewis & the news","little river band"
"1553","head east","rick springfield"
"1554","gary wright","don henley"
"1555","little river band","loverboy"
"1556","atlanta rhythm section","mr. mister"
"1557","the babys","glenn frey"
"1558","the j. geils band","pat benatar"
"1559","bob welch","starship"
"1560","joe walsh","steve perry"
"1561","eddie money","the romantics"
"1562","38 special","kenny loggins"
"1563","orleans","robert palmer"
"1564","pure prairie league","steve winwood"
"1565","three dog night","the cars"
"1566","paul davis","the j. geils band"
"1567","bachman-turner overdrive","billy squier"
"1568","loverboy","fine young cannibals"
"1569","billy squier","level 42"
"1570","38 special","the power station"
"1571","the j. geils band","paul young"
"1572","don henley","wang chung"
"1573","jefferson starship","steve winwood"
"1574","huey lewis & the news","johnny hates jazz"
"1575","joe walsh","huey lewis & the news"
"1576","boston","glenn frey"
"1577","bachman-turner overdrive","howard jones"
"1578","styx","abc"
"1579","heart","the romantics"
"1580","sammy hagar","joe jackson"
"1581","the babys","nik kershaw"
"1582","head east","don henley"
"1583","pat benatar","bryan ferry"
"1584","night ranger","thompson twins"
"1585","john mellencamp","rick springfield"
"1586","ambrosia","corey hart"
"1587","pablo cruise","john parr"
"1588","seals and crofts","lou gramm"
"1589","loggins & messina","cutting crew"
"1590","stephen bishop","steve perry"
"1591","orleans","john waite"
"1592","atlanta rhythm section","honeymoon suite"
"1593","gino vannelli","quarterflash"
"1594","jefferson starship","red rider"
"1595","dan fogelberg","platinum blonde"
"1596","paul davis","starship"
"1597","poco","glenn frey"
"1598","pure prairie league","wang chung"
"1599","nicolette larson","gowan"
"1600","michael mcdonald","benjamin orr"
"1601","donald fagen","huey lewis & the news"
"1602","bob welch","tom cochrane"
"1603","jonathan edwards","orleans"
"1604","dan fogelberg","seals and crofts"
"1605","seals and crofts","gary wright"
"1606","poco","bob welch"
"1607","firefall","little river band"
"1608","dave mason","ambrosia"
"1609","jd souther","pure prairie league"
"1610","the ozark mountain daredevils","poco"
"1611","pablo cruise","paul davis"
"1612","harry chapin","jefferson starship"
"1613","jesse colin young","the ozark mountain daredevils"
"1614","orleans","loggins & messina"
"1615","little river band","nicolette larson"
"1616","jefferson starship","player"
"1617","boz scaggs","atlanta rhythm section"
"1618","crosby, stills & nash","dave mason"
"1619","pure prairie league","seals and crofts"
"1620","jd souther","firefall"
"1621","firefall","loggins & messina"
"1622","the ozark mountain daredevils","stephen bishop"
"1623","loggins & messina","paul davis"
"1624","dave mason","orleans"
"1625","jesse colin young","pablo cruise"
"1626","atlanta rhythm section","england dan & john ford coley"
"1627","jonathan edwards","little river band"
"1628","stephen stills","art garfunkel"
"1629","chris hillman","poco"
"1630","new riders of the purple sage","david gates"
"1631","seals and crofts","jd souther"
"1632","pablo cruise","bread"
"1633","bob welch","rita coolidge"
"1634","crosby, stills & nash","captain & tennille"
"1635","little river band","melissa manchester"
"1636","don henley","robbie dupree"
"1637","eddie money","player"
"1638","loverboy","pablo cruise"
"1639","pat benatar","orleans"
"1640","starship","bertie higgins"
"1641","daryl hall & john oates","bob welch"
"1642","steve perry","christopher cross"
"1643","the romantics","little river band"
"1644","38 special","england dan & john ford coley"
"1645","kenny loggins","melissa manchester"
"1646","robert palmer","captain & tennille"
"1647","steve winwood","gary wright"
"1648","the cars","dan fogelberg"
"1649","the j. geils band","robert john"
"1650","billy squier","david gates"
"1651","fine young cannibals","glenn frey"
"1652","level 42","steve winwood"
"1653","the power station","eddie money"
"1654","mike + the mechanics","huey lewis & the news"
"1655","mr. mister","jefferson starship"
"1656","wang chung","john mellencamp"
"1657","steve winwood","jackson browne"
"1658","johnny hates jazz","rick springfield"
"1659","glenn frey","38 special"
"1660","howard jones","reo speedwagon"
"1661","abc","the j. geils band"
"1662","the romantics","mr. mister"
"1663","joe jackson","joe walsh"
"1664","nik kershaw","loverboy"
"1665","bryan ferry","firefall"
"1666","thompson twins","mike + the mechanics"
"1667","rick springfield","the doobie brothers"
"1668","corey hart","don henley"
"1669","john parr","bruce hornsby"
"1670","lou gramm","glenn frey"
"1671","cutting crew","robert palmer"
"1672","loverboy","mike + the mechanics"
"1673","steve perry","eddie money"
"1674","honeymoon suite","mr. mister"
"1675","quarterflash","ambrosia"
"1676","red rider","boz scaggs"
"1677","starship","rick springfield"
"1678","wang chung","38 special"
"1679","gowan","glass tiger"
"1680","benjamin orr","wang chung"
"1681","huey lewis & the news","atlanta rhythm section"
"1682","tom cochrane","christopher cross"
"1683","pablo cruise","shawn mullins"
"1684","bob welch","joan osborne"
"1685","little river band","james taylor"
"1686","ambrosia","melissa etheridge"
"1687","pure prairie league","joshua kadison"
"1688","poco","bonnie raitt"
"1689","paul davis","shawn colvin"
"1690","jefferson starship","natalie merchant"
"1691","the ozark mountain daredevils","sheryl crow"
"1692","loggins & messina","jennifer warnes"
"1693","dan fogelberg","amanda marshall"
"1694","nicolette larson","carole king"
"1695","player","tracy chapman"
"1696","atlanta rhythm section","van morrison"
"1697","stephen bishop","bruce springsteen"
"1698","england dan & john ford coley","billy joel"
"1699","dave mason","carly simon"
"1700","paul davis","rick springfield"
"1701","orleans","paul davis"
"1702","pablo cruise","eric carmen"
"1703","england dan & john ford coley","steve winwood"
"1704","art garfunkel","glass tiger"
"1705","poco","peter cetera"
"1706","david gates","paul carrack"
"1707","ambrosia","quarterflash"
"1708","harry chapin","daryl hall"
"1709","jd souther","starship"
"1710","bread","john waite"
"1711","pure prairie league","lou gramm"
"1712","rita coolidge","christopher cross"
"1713","captain & tennille","sheena easton"
"1714","melissa manchester","ambrosia"
"1715","ambrosia","cutting crew"
"1716","robbie dupree","corey hart"
"1717","player","john parr"
"1718","pablo cruise","starship"
"1719","stephen bishop","mike + the mechanics"
"1720","nicolette larson","john waite"
"1721","orleans","go west"
"1722","bertie higgins","johnny hates jazz"
"1723","bob welch","glenn frey"
"1724","christopher cross","rick springfield"
"1725","england dan & john ford coley","richard marx"
"1726","melissa manchester","steve perry"
"1727","captain & tennille","lou gramm"
"1728","gary wright","paul young"
"1729","dan fogelberg","huey lewis & the news"
"1730","robert john","kim carnes"
"1731","david gates","nik kershaw"
"1732","glenn frey","james taylor"
"1733","steve winwood","crosby, stills & nash"
"1734","eddie money","poco"
"1735","jefferson starship","warren zevon"
"1736","john mellencamp","dan fogelberg"
"1737","jackson browne","jim croce"
"1738","rick springfield","gordon lightfoot"
"1739","little river band","pure prairie league"
"1740","mr. mister","boz scaggs"
"1741","joe walsh","bruce hornsby"
"1742","loverboy","van morrison"
"1743","steve perry","steve winwood"
"1744","mike + the mechanics","little river band"
"1745","the doobie brothers","stephen stills"
"1746","glenn frey","warren zevon"
"1747","robert palmer","bruce hornsby"
"1748","huey lewis & the news","glenn frey"
"1749","jefferson starship","jackson browne"
"1750","little river band","bob welch"
"1751","mr. mister","al stewart"
"1752","boz scaggs","traveling wilburys"
"1753","the j. geils band","jeff lynne"
"1754","rick springfield","julian lennon"
"1755","jackson browne","boz scaggs"
"1756","38 special","todd rundgren"
"1757","glass tiger","joe walsh"
"1758","wang chung","robert plant"
"1759","atlanta rhythm section","pretenders"
"1760","christopher cross","mudcrutch"
"1761","shawn mullins","lou gramm"
"1762","bruce hornsby","john waite"
"1763","jackson browne","rick springfield"
"1764","joan osborne","quarterflash"
"1765","james taylor","mr. mister"
"1766","melissa etheridge","glass tiger"
"1767","joshua kadison","glenn frey"
"1768","shawn colvin","eddie money"
"1769","natalie merchant","cutting crew"
"1770","sheryl crow","reo speedwagon"
"1771","jennifer warnes","night ranger"
"1772","amanda marshall","38 special"
"1773","carole king","jefferson starship"
"1774","tracy chapman","starship"
"1775","van morrison","don henley"
"1776","bruce springsteen","the babys"
"1777","billy joel","john parr"
"1778","carly simon","huey lewis & the news"
"1779","mr. mister","gary wright"
"1780","cutting crew","firefall"
"1781","steve perry","little river band"
"1782","rick springfield","atlanta rhythm section"
"1783","eric carmen","the babys"
"1784","glass tiger","pablo cruise"
"1785","peter cetera","joe walsh"
"1786","paul carrack","eddie money"
"1787","quarterflash","loverboy"
"1788","john waite","orleans"
"1789","christopher cross","three dog night"
"1790","sheena easton","paul davis"
"1791","ambrosia","bachman-turner overdrive"
"1792","cutting crew","loverboy"
"1793","corey hart","billy squier"
"1794","john parr","38 special"
"1795","starship","the j. geils band"
"1796","mike + the mechanics","rick springfield"
"1797","wang chung","reo speedwagon"
"1798","john waite","don henley"
"1799","go west","jefferson starship"
"1800","johnny hates jazz","huey lewis & the news"
"1801","rick springfield","boston"
"1802","richard marx","styx"
"1803","steve perry","heart"
"1804","the power station","sammy hagar"
"1805","lou gramm","the babys"
"1806","paul young","head east"
"1807","huey lewis & the news","pat benatar"
"1808","kim carnes","night ranger"
"1809","nik kershaw","john mellencamp"
"1810","paul carrack","seals and crofts"
"1811","richard marx","little river band"
"1812","johnny hates jazz","firefall"
"1813","robert palmer","dave mason"
"1814","nik kershaw","orleans"
"1815","level 42","atlanta rhythm section"
"1816","the hooters","gino vannelli"
"1817","don henley","dan fogelberg"
"1818","chris de burgh","paul davis"
"1819","go west","pure prairie league"
"1820","starship","nicolette larson"
"1821","fine young cannibals","michael mcdonald"
"1822","bruce hornsby","donald fagen"
"1823","glass tiger","bob welch"
"1824","james taylor","pure prairie league"
"1825","crosby, stills & nash","jonathan edwards"
"1826","poco","dan fogelberg"
"1827","don henley","poco"
"1828","jim croce","jd souther"
"1829","gordon lightfoot","the ozark mountain daredevils"
"1830","seals and crofts","harry chapin"
"1831","firefall","jesse colin young"
"1832","van morrison","jefferson starship"
"1833","steve winwood","boz scaggs"
"1834","jefferson starship","bob welch"
"1835","little river band","ambrosia"
"1836","stephen stills","crosby, stills & nash"
"1837","pete townshend","jd souther"
"1838","bruce hornsby","the ozark mountain daredevils"
"1839","glenn frey","loggins & messina"
"1840","jackson browne","jesse colin young"
"1841","al stewart","stephen stills"
"1842","jefferson starship","chris hillman"
"1843","traveling wilburys","new riders of the purple sage"
"1844","jeff lynne","jefferson starship"
"1845","julian lennon","dan fogelberg"
"1846","boz scaggs","seals and crofts"
"1847","todd rundgren","pablo cruise"
"1848","joe walsh","orleans"
"1849","pretenders","crosby, stills & nash"
"1850","mudcrutch","little river band"
"1851","lou gramm","rick springfield"
"1852","rick springfield","eddie money"
"1853","quarterflash","mr. mister"
"1854","glenn frey","pat benatar"
"1855","corey hart","starship"
"1856","eddie money","daryl hall & john oates"
"1857","cutting crew","steve perry"
"1858","reo speedwagon","the romantics"
"1859","night ranger","38 special"
"1860","jefferson starship","corey hart"
"1861","starship","robert palmer"
"1862","don henley","steve winwood"
"1863","the babys","the cars"
"1864","john parr","the j. geils band"
"1865","huey lewis & the news","billy squier"
"1866","head east","fine young cannibals"
"1867","gary wright","level 42"
"1868","little river band","paul young"
"1869","atlanta rhythm section","mike + the mechanics"
"1870","ambrosia","mr. mister"
"1871","the babys","wang chung"
"1872","the j. geils band","steve winwood"
"1873","bob welch","johnny hates jazz"
"1874","joe walsh","glenn frey"
"1875","eddie money","howard jones"
"1876","loverboy","abc"
"1877","38 special","the romantics"
"1878","orleans","nik kershaw"
"1879","pure prairie league","don henley"
"1880","three dog night","bryan ferry"
"1881","paul davis","thompson twins"
"1882","bachman-turner overdrive","rick springfield"
"1883","loverboy","corey hart"
"1884","billy squier","john parr"
"1885","the j. geils band","cutting crew"
"1886","jefferson starship","steve perry"
"1887","huey lewis & the news","john waite"
"1888","joe walsh","honeymoon suite"
"1889","boston","quarterflash"
"1890","bachman-turner overdrive","red rider"
"1891","styx","platinum blonde"
"1892","heart","starship"
"1893","sammy hagar","glenn frey"
"1894","head east","gowan"
"1895","pat benatar","benjamin orr"
"1896","night ranger","huey lewis & the news"
"1897","john mellencamp","tom cochrane"
"1898","pablo cruise","orleans"
"1899","loggins & messina","gary wright"
"1900","stephen bishop","pure prairie league"
"1901","orleans","poco"
"1902","atlanta rhythm section","paul davis"
"1903","gino vannelli","jefferson starship"
"1904","jefferson starship","the ozark mountain daredevils"
"1905","dan fogelberg","loggins & messina"
"1906","poco","nicolette larson"
"1907","pure prairie league","player"
"1908","nicolette larson","atlanta rhythm section"
"1909","michael mcdonald","stephen bishop"
"1910","donald fagen","england dan & john ford coley"
"1911","bob welch","dave mason"
"1912","jonathan edwards","firefall"
"1913","seals and crofts","stephen bishop"
"1914","poco","paul davis"
"1915","firefall","orleans"
"1916","dave mason","pablo cruise"
"1917","jd souther","england dan & john ford coley"
"1918","pablo cruise","art garfunkel"
"1919","harry chapin","poco"
"1920","jesse colin young","david gates"
"1921","orleans","ambrosia"
"1922","atlanta rhythm section","harry chapin"
"1923","little river band","jd souther"
"1924","jefferson starship","bread"
"1925","boz scaggs","pure prairie league"
"1926","ambrosia","captain & tennille"
"1927","crosby, stills & nash","melissa manchester"
"1928","pure prairie league","ambrosia"
"1929","jd souther","robbie dupree"
"1930","firefall","player"
"1931","the ozark mountain daredevils","pablo cruise"
"1932","loggins & messina","stephen bishop"
"1933","dave mason","firefall"
"1934","jesse colin young","nicolette larson"
"1935","atlanta rhythm section","orleans"
"1936","jonathan edwards","bertie higgins"
"1937","chris hillman","christopher cross"
"1938","new riders of the purple sage","little river band"
"1939","jefferson starship","england dan & john ford coley"
"1940","pablo cruise","captain & tennille"
"1941","orleans","gary wright"
"1942","bob welch","dan fogelberg"
"1943","crosby, stills & nash","robert john"
"1944","little river band","david gates"
"1945","loverboy","bruce hornsby"
"1946","glenn frey","john mellencamp"
"1947","pat benatar","jackson browne"
"1948","daryl hall & john oates","little river band"
"1949","the romantics","reo speedwagon"
"1950","38 special","the j. geils band"
"1951","kenny loggins","mr. mister"
"1952","corey hart","joe walsh"
"1953","robert palmer","loverboy"
"1954","the cars","firefall"
"1955","the j. geils band","mike + the mechanics"
"1956","billy squier","the doobie brothers"
"1957","fine young cannibals","don henley"
"1958","level 42","bruce hornsby"
"1959","the power station","glenn frey"
"1960","paul young","robert palmer"
"1961","steve winwood","eddie money"
"1962","huey lewis & the news","mr. mister"
"1963","howard jones","boz scaggs"
"1964","the romantics","rick springfield"
"1965","joe jackson","jackson browne"
"1966","nik kershaw","38 special"
"1967","don henley","glass tiger"
"1968","bryan ferry","wang chung"
"1969","thompson twins","atlanta rhythm section"
"1970","rick springfield","christopher cross"
"1971","corey hart","shawn mullins"
"1972","lou gramm","jackson browne"
"1973","cutting crew","don henley"
"1974","mr. mister","joan osborne"
"1975","loverboy","james taylor"
"1976","rick springfield","melissa etheridge"
"1977","steve perry","joshua kadison"
"1978","john waite","bonnie raitt"
"1979","honeymoon suite","shawn colvin"
"1980","quarterflash","natalie merchant"
"1981","red rider","sheryl crow"
"1982","platinum blonde","jennifer warnes"
"1983","starship","amanda marshall"
"1984","glenn frey","carole king"
"1985","wang chung","tracy chapman"
"1986","gowan","van morrison"
"1987","benjamin orr","bruce springsteen"
"1988","huey lewis & the news","billy joel"
"1989","tom cochrane","carly simon"
"1990","orleans","mr. mister"
"1991","ambrosia","eric carmen"
"1992","paul davis","glass tiger"
"1993","jefferson starship","peter cetera"
"1994","the ozark mountain daredevils","paul carrack"
"1995","loggins & messina","quarterflash"
"1996","dan fogelberg","daryl hall"
"1997","nicolette larson","starship"
"1998","player","john waite"
"1999","atlanta rhythm section","lou gramm"
"2000","stephen bishop","christopher cross"
"2001","england dan & john ford coley","sheena easton"
"2002","firefall","corey hart"
"2003","loggins & messina","john parr"
"2004","stephen bishop","starship"
"2005","paul davis","mike + the mechanics"
"2006","orleans","wang chung"
"2007","pablo cruise","john waite"
"2008","england dan & john ford coley","go west"
"2009","art garfunkel","glenn frey"
"2010","david gates","glass tiger"
"2011","ambrosia","richard marx"
"2012","jd souther","the power station"
"2013","bread","lou gramm"
"2014","pure prairie league","paul young"
"2015","rita coolidge","huey lewis & the news"
"2016","captain & tennille","kim carnes"
"2017","melissa manchester","nik kershaw"
"2018","robbie dupree","cutting crew"
"2019","player","paul carrack"
"2020","pablo cruise","paul young"
"2021","stephen bishop","richard marx"
"2022","firefall","johnny hates jazz"
"2023","nicolette larson","robert palmer"
"2024","bertie higgins","nik kershaw"
